"Group Name","Species Name English","Species Name French","Species Latin Name","Species Code","Species Abundance"
,"Black-bellied Whistling-Duck","Dendrocygne à ventre noir","Dendrocygna autumnalis",BBWD,1
,"Fulvous Whistling-Duck","Dendrocygne fauve","Dendrocygna bicolor",FUWD,1
,"Emperor Goose","Oie empereur","Anser canagicus",EMGO,2
,"Snow Goose","Oie des neiges","Anser caerulescens",SNGO,1
,"Ross's Goose","Oie de Ross","Anser rossii",ROGO,1
,"Graylag Goose","Oie cendrée","Anser anser",GRGO,5
,"Greater White-fronted Goose","Oie rieuse","Anser albifrons",GWFG,1
,"Lesser White-fronted Goose","Oie naine","Anser erythropus",LWFG,5
,"Taiga Bean-Goose","Oie des moissons","Anser fabalis",TABG,3
,"Tundra Bean-Goose","Oie de la toundra","Anser serrirostris",TUBG,3
,"Pink-footed Goose","Oie à bec court","Anser brachyrhynchus",PFGO,3
,Brant,"Bernache cravant","Branta bernicla",BRAN,1
,"Barnacle Goose","Bernache nonnette","Branta leucopsis",BARG,3
,"Cackling Goose","Bernache de Hutchins","Branta hutchinsii",CACG,1
,"Canada Goose","Bernache du Canada","Branta canadensis",CANG,1
,"Hawaiian Goose","Bernache néné","Branta sandvicensis",HAGO,2
,"Mute Swan","Cygne tuberculé","Cygnus olor",MUSW,1
,"Trumpeter Swan","Cygne trompette","Cygnus buccinator",TRUS,1
,"Tundra Swan","Cygne siffleur","Cygnus columbianus",TUSW,1
